Level,AttackPower,MaxHp,NeedExp,AttackSpeed,MoveSpeed,AttackRange,SkillRange,SkillCoefficient
1,100,50,3,2,2,5,5,0.2
2,105,52,4,2,2,5,5,0.2
3,110,54,5,2,2,5,5,0.2
4,116,56,6,2,2,5,5,0.2
5,122,58,7,2,2,5,5,0.2
6,128,60,8,2,2,5,5,0.2
7,134,62,10,2,2,5,5,0.2
8,141,64,12,2,2,5,5,0.2
9,148,66,14,2,2,5,5,0.2
10,155,68,17,2,2,5,5,0.2
11,163,70,20,2,2,5,5,0.2
12,171,72,24,2,2,5,5,0.2
13,180,74,29,2,2,5,5,0.2
14,189,76,35,2,2,5,5,0.2
15,198,78,42,2,2,5,5,0.2
16,208,80,50,2,2,5,5,0.2
17,218,82,60,2,2,5,5,0.2
18,229,84,72,2,2,5,5,0.2
19,240,87,86,2,2,5,5,0.2
20,252,90,103,2,2,5,5,0.2
21,265,93,124,2,2,5,5,0.2
22,278,96,149,2,2,5,5,0.2
23,292,99,179,2,2,5,5,0.2
24,307,102,215,2,2,5,5,0.2
25,322,105,258,2,2,5,5,0.2
26,338,108,310,2,2,5,5,0.2
27,355,111,372,2,2,5,5,0.2
28,373,114,446,2,2,5,5,0.2
29,392,117,535,2,2,5,5,0.2
30,412,121,642,2,2,5,5,0.2
31,433,125,770,2,2,5,5,0.2
32,455,129,924,2,2,5,5,0.2
33,478,133,1109,2,2,5,5,0.2
34,502,137,1331,2,2,5,5,0.2
35,527,141,1597,2,2,5,5,0.2
36,553,145,1916,2,2,5,5,0.2
37,581,149,2299,2,2,5,5,0.2
38,610,153,2759,2,2,5,5,0.2
39,641,158,3311,2,2,5,5,0.2
40,673,163,3973,2,2,5,5,0.2
41,707,168,4768,2,2,5,5,0.2
42,742,173,5722,2,2,5,5,0.2
43,779,178,6866,2,2,5,5,0.2
44,818,183,8239,2,2,5,5,0.2
45,859,188,9887,2,2,5,5,0.2
46,902,194,11864,2,2,5,5,0.2
47,947,200,14237,2,2,5,5,0.2
48,994,206,17084,2,2,5,5,0.2
49,1044,212,20501,2,2,5,5,0.2
50,1096,218,,2,2,5,5,0.2
