Level,AttackPower,MaxHp,NeedExp,AttackSpeed,MoveSpeed,AttackRange,SkillRange,SkillCoefficient
1,100,50,3,2,3,1,5,1.3
2,105,52,4,2,3,1,3,1.3
3,110,54,5,2,3,1,3,1.3
4,116,56,6,2,3,1,3,1.3
5,122,58,7,2,3,1,3,1.3
6,128,60,8,2,3,1,3,1.3
7,134,62,10,2,3,1,3,1.3
8,141,64,12,2,3,1,3,1.3
9,148,66,14,2,3,1,3,1.3
10,155,68,17,2,3,1,3,1.3
11,163,70,20,2,3,1,3,1.3
12,171,72,24,2,3,1,3,1.3
13,180,74,29,2,3,1,3,1.3
14,189,76,35,2,3,1,3,1.3
15,198,78,42,2,3,1,3,1.3
16,208,80,50,2,3,1,3,1.3
17,218,82,60,2,3,1,3,1.3
18,229,84,72,2,3,1,3,1.3
19,240,87,86,2,3,1,3,1.3
20,252,90,103,2,3,1,3,1.3
21,265,93,124,2,3,1,3,1.3
22,278,96,149,2,3,1,3,1.3
23,292,99,179,2,3,1,3,1.3
24,307,102,215,2,3,1,3,1.3
25,322,105,258,2,3,1,3,1.3
26,338,108,310,2,3,1,3,1.3
27,355,111,372,2,3,1,3,1.3
28,373,114,446,2,3,1,3,1.3
29,392,117,535,2,3,1,3,1.3
30,412,121,642,2,3,1,3,1.3
31,433,125,770,2,3,1,3,1.3
32,455,129,924,2,3,1,3,1.3
33,478,133,1109,2,3,1,3,1.3
34,502,137,1331,2,3,1,3,1.3
35,527,141,1597,2,3,1,3,1.3
36,553,145,1916,2,3,1,3,1.3
37,581,149,2299,2,3,1,3,1.3
38,610,153,2759,2,3,1,3,1.3
39,641,158,3311,2,3,1,3,1.3
40,673,163,3973,2,3,1,3,1.3
41,707,168,4768,2,3,1,3,1.3
42,742,173,5722,2,3,1,3,1.3
43,779,178,6866,2,3,1,3,1.3
44,818,183,8239,2,3,1,3,1.3
45,859,188,9887,2,3,1,3,1.3
46,902,194,11864,2,3,1,3,1.3
47,947,200,14237,2,3,1,3,1.3
48,994,206,17084,2,3,1,3,1.3
49,1044,212,20501,2,3,1,3,1.3
50,1096,218,,2,3,1,3,1.3
