Level,AttackPower,MaxHp,NeedExp,AttackSpeed,MoveSpeed,AttackRange,SkillRange,SkillCoefficient
1,100,50,3,1,1,9,4,1.3
2,105,52,4,1,1,9,4,1.3
3,110,54,5,1,1,9,4,1.3
4,116,56,6,1,1,9,4,1.3
5,122,58,7,1,1,9,4,1.3
6,128,60,8,1,1,9,4,1.3
7,134,62,10,1,1,9,4,1.3
8,141,64,12,1,1,9,4,1.3
9,148,66,14,1,1,9,4,1.3
10,155,68,17,1,1,9,4,1.3
11,163,70,20,1,1,9,4,1.3
12,171,72,24,1,1,9,4,1.3
13,180,74,29,1,1,9,4,1.3
14,189,76,35,1,1,9,4,1.3
15,198,78,42,1,1,9,4,1.3
16,208,80,50,1,1,9,4,1.3
17,218,82,60,1,1,9,4,1.3
18,229,84,72,1,1,9,4,1.3
19,240,87,86,1,1,9,4,1.3
20,252,90,103,1,1,9,4,1.3
21,265,93,124,1,1,9,4,1.3
22,278,96,149,1,1,9,4,1.3
23,292,99,179,1,1,9,4,1.3
24,307,102,215,1,1,9,4,1.3
25,322,105,258,1,1,9,4,1.3
26,338,108,310,1,1,9,4,1.3
27,355,111,372,1,1,9,4,1.3
28,373,114,446,1,1,9,4,1.3
29,392,117,535,1,1,9,4,1.3
30,412,121,642,1,1,9,4,1.3
31,433,125,770,1,1,9,4,1.3
32,455,129,924,1,1,9,4,1.3
33,478,133,1109,1,1,9,4,1.3
34,502,137,1331,1,1,9,4,1.3
35,527,141,1597,1,1,9,4,1.3
36,553,145,1916,1,1,9,4,1.3
37,581,149,2299,1,1,9,4,1.3
38,610,153,2759,1,1,9,4,1.3
39,641,158,3311,1,1,9,4,1.3
40,673,163,3973,1,1,9,4,1.3
41,707,168,4768,1,1,9,4,1.3
42,742,173,5722,1,1,9,4,1.3
43,779,178,6866,1,1,9,4,1.3
44,818,183,8239,1,1,9,4,1.3
45,859,188,9887,1,1,9,4,1.3
46,902,194,11864,1,1,9,4,1.3
47,947,200,14237,1,1,9,4,1.3
48,994,206,17084,1,1,9,4,1.3
49,1044,212,20501,1,1,9,4,1.3
50,1096,218,,1,1,9,4,1.3
