Level,AttackPower,MaxHp,NeedExp,AttackSpeed,MoveSpeed,AttackRange,SkillRange,SkillCoefficient
1,50,100,3,1,1,3,6,0.5
2,52,105,4,1,1,3,6,0.5
3,54,110,5,1,1,3,6,0.5
4,56,116,6,1,1,3,6,0.5
5,58,122,7,1,1,3,6,0.5
6,60,128,8,1,1,3,6,0.5
7,62,134,10,1,1,3,6,0.5
8,64,141,12,1,1,3,6,0.5
9,66,148,14,1,1,3,6,0.5
10,68,155,17,1,1,3,6,0.5
11,70,163,20,1,1,3,6,0.5
12,72,171,24,1,1,3,6,0.5
13,74,180,29,1,1,3,6,0.5
14,76,189,35,1,1,3,6,0.5
15,78,198,42,1,1,3,6,0.5
16,80,208,50,1,1,3,6,0.5
17,82,218,60,1,1,3,6,0.5
18,84,229,72,1,1,3,6,0.5
19,87,240,86,1,1,3,6,0.5
20,90,252,103,1,1,3,6,0.5
21,93,265,124,1,1,3,6,0.5
22,96,278,149,1,1,3,6,0.5
23,99,292,179,1,1,3,6,0.5
24,102,307,215,1,1,3,6,0.5
25,105,322,258,1,1,3,6,0.5
26,108,338,310,1,1,3,6,0.5
27,111,355,372,1,1,3,6,0.5
28,114,373,446,1,1,3,6,0.5
29,117,392,535,1,1,3,6,0.5
30,121,412,642,1,1,3,6,0.5
31,125,433,770,1,1,3,6,0.5
32,129,455,924,1,1,3,6,0.5
33,133,478,1109,1,1,3,6,0.5
34,137,502,1331,1,1,3,6,0.5
35,141,527,1597,1,1,3,6,0.5
36,145,553,1916,1,1,3,6,0.5
37,149,581,2299,1,1,3,6,0.5
38,153,610,2759,1,1,3,6,0.5
39,158,641,3311,1,1,3,6,0.5
40,163,673,3973,1,1,3,6,0.5
41,168,707,4768,1,1,3,6,0.5
42,173,742,5722,1,1,3,6,0.5
43,178,779,6866,1,1,3,6,0.5
44,183,818,8239,1,1,3,6,0.5
45,188,859,9887,1,1,3,6,0.5
46,194,902,11864,1,1,3,6,0.5
47,200,947,14237,1,1,3,6,0.5
48,206,994,17084,1,1,3,6,0.5
49,212,1044,20501,1,1,3,6,0.5
50,218,1096,,1,1,3,6,0.5
