Level,AttackPower,MaxHp,NeedExp,AttackSpeed,MoveSpeed,AttackRange,SkillRange,SkillCoefficient
1,75,75,3,2,2,3,3,1.5
2,78,78,4,2,2,3,3,1.5
3,81,81,5,2,2,3,3,1.5
4,84,84,6,2,2,3,3,1.5
5,87,87,7,2,2,3,3,1.5
6,90,90,8,2,2,3,3,1.5
7,94,94,10,2,2,3,3,1.5
8,98,98,12,2,2,3,3,1.5
9,102,102,14,2,2,3,3,1.5
10,106,106,17,2,2,3,3,1.5
11,110,110,20,2,2,3,3,1.5
12,114,114,24,2,2,3,3,1.5
13,119,119,29,2,2,3,3,1.5
14,124,124,35,2,2,3,3,1.5
15,129,129,42,2,2,3,3,1.5
16,134,134,50,2,2,3,3,1.5
17,139,139,60,2,2,3,3,1.5
18,145,145,72,2,2,3,3,1.5
19,151,151,86,2,2,3,3,1.5
20,157,157,103,2,2,3,3,1.5
21,163,163,124,2,2,3,3,1.5
22,170,170,149,2,2,3,3,1.5
23,177,177,179,2,2,3,3,1.5
24,184,184,215,2,2,3,3,1.5
25,191,191,258,2,2,3,3,1.5
26,199,199,310,2,2,3,3,1.5
27,207,207,372,2,2,3,3,1.5
28,215,215,446,2,2,3,3,1.5
29,224,224,535,2,2,3,3,1.5
30,233,233,642,2,2,3,3,1.5
31,242,242,770,2,2,3,3,1.5
32,252,252,924,2,2,3,3,1.5
33,262,262,1109,2,2,3,3,1.5
34,272,272,1331,2,2,3,3,1.5
35,283,283,1597,2,2,3,3,1.5
36,294,294,1916,2,2,3,3,1.5
37,306,306,2299,2,2,3,3,1.5
38,318,318,2759,2,2,3,3,1.5
39,331,331,3311,2,2,3,3,1.5
40,344,344,3973,2,2,3,3,1.5
41,358,358,4768,2,2,3,3,1.5
42,372,372,5722,2,2,3,3,1.5
43,387,387,6866,2,2,3,3,1.5
44,402,402,8239,2,2,3,3,1.5
45,418,418,9887,2,2,3,3,1.5
46,435,435,11864,2,2,3,3,1.5
47,452,452,14237,2,2,3,3,1.5
48,470,470,17084,2,2,3,3,1.5
49,489,489,20501,2,2,3,3,1.5
50,509,509,,2,2,3,3,1.5
